2000.01.01	284	Budapest	Duna
2000.01.02	251	Budapest	Duna
2000.01.03	228	Budapest	Duna
2000.01.04	218	Budapest	Duna
2000.01.05	213	Budapest	Duna
2000.01.06	213	Budapest	Duna
2000.01.07	209	Budapest	Duna
2000.01.08	222	Budapest	Duna
2000.01.09	223	Budapest	Duna
2000.01.10	213	Budapest	Duna
2000.01.11	199	Budapest	Duna
2000.01.12	192	Mohács	Tisza
2000.01.13	192	Budapest	Duna
2000.01.14	194	Szeged	Duna
2000.01.15	190	Budapest	Duna
2000.01.16	184	Budapest	Duna
2000.01.17	172	Budapest	Duna
2000.01.18	171	Szeged	Tisza
2000.01.19	179	Budapest	Duna
2000.01.20	191	Budapest	Duna
2000.01.21	255	Budapest	Duna
2000.01.22	227	Budapest	Duna
2000.01.23	211	Budapest	Duna
2000.01.24	209	Mohács	Duna
2000.01.25	200	Budapest	Duna
2000.01.26	173	Budapest	Duna
2000.01.27	168	Budapest	Duna
2000.01.28	149	Budapest	Duna
2000.01.29	168	Budapest	Duna
2000.01.30	169	Budapest	Sajó
2000.01.31	160	Budapest	Duna
2000.02.01	297	Budapest	Duna
2000.02.02	473	Budapest	Duna
2000.02.03	529	Budapest	Duna
2000.02.04	508	Budapest	Duna
2000.02.05	470	Budapest	Duna
2000.02.06	429	Budapest	Duna
2000.02.07	400	Budapest	Duna
2000.02.08	396	Budapest	Duna
2000.02.09	394	Budapest	Duna
2000.02.10	407	Budapest	Duna
2000.02.11	489	Budapest	Duna
2000.02.12	497	Budapest	Duna
2000.02.13	466	Budapest	Duna
2000.02.14	446	Budapest	Duna
2000.02.15	420	Budapest	Duna
2000.02.16	405	Budapest	Duna
2000.02.17	393	Budapest	Duna
2000.02.18	395	Budapest	Duna
2000.02.19	400	Budapest	Duna
2000.02.20	383	Budapest	Duna
2000.02.21	376	Budapest	Duna
2000.02.22	393	Budapest	Duna
2000.02.23	365	Budapest	Duna
2000.02.24	346	Budapest	Duna
2000.02.25	333	Budapest	Duna
2000.02.26	327	Budapest	Duna
2000.02.27	334	Budapest	Duna
2000.02.28	369	Budapest	Duna
2000.02.29	364	Budapest	Duna
2000.03.01	353	Budapest	Duna
2000.03.02	348	Budapest	Duna
2000.03.03	349	Budapest	Duna
2000.03.04	355	Budapest	Duna
2000.03.05	354	Budapest	Duna
2000.03.06	362	Budapest	Duna
2000.03.07	369	Budapest	Duna
2000.03.08	359	Budapest	Duna
2000.03.09	345	Budapest	Duna
2000.03.10	345	Budapest	Duna
2000.03.11	440	Budapest	Duna
2000.03.12	552	Budapest	Duna
2000.03.13	582	Budapest	Duna
2000.03.14	601	Budapest	Duna
2000.03.15	571	Budapest	Duna
2000.03.16	535	Budapest	Duna
2000.03.17	546	Budapest	Duna
2000.03.18	552	Budapest	Duna
2000.03.19	559	Budapest	Duna
2000.03.20	584	Budapest	Duna
2000.03.21	571	Budapest	Duna
2000.03.22	558	Budapest	Duna
2000.03.23	524	Budapest	Duna
2000.03.24	490	Budapest	Duna
2000.03.25	469	Budapest	Duna
2000.03.26	461	Budapest	Duna
